ticker,sector,is_it,year,period,entry_date,surprise_pct,q,f_vol15x,f_rs,f_52w,f_nearearn,atr_pct,flat8_stop_pct,flat8_pos_dollar,flat8_ret_pct,flat8_ret_dollar,flat8_exit,flat8_hold,flat10_stop_pct,flat10_pos_dollar,flat10_ret_pct,flat10_ret_dollar,flat10_exit,flat10_hold,flat12_stop_pct,flat12_pos_dollar,flat12_ret_pct,flat12_ret_dollar,flat12_exit,flat12_hold,atr15_stop_pct,atr15_pos_dollar,atr15_ret_pct,atr15_ret_dollar,atr15_exit,atr15_hold,atr20_stop_pct,atr20_pos_dollar,atr20_ret_pct,atr20_ret_dollar,atr20_exit,atr20_hold
AOS,Industrials,False,2023,IS (2022-2024),2023-07-31,11.76,2,True,False,True,True,1.978,8.0,11000.0,-2.4623,-270.86,time,42,10.0,11000.0,-2.4623,-270.86,time,42,12.0,11000.0,-2.4623,-270.86,time,42,8.0,10000.0,-2.4623,-246.23,time,42,8.0,10000.0,-2.4623,-246.23,time,42
AOS,Industrials,False,2023,IS (2022-2024),2023-10-30,13.36,1,True,False,False,True,2.896,8.0,11000.0,12.3859,1362.45,time,42,10.0,11000.0,12.3859,1362.45,time,42,12.0,11000.0,12.3859,1362.45,time,42,8.0,10000.0,12.3859,1238.59,time,42,8.0,10000.0,12.3859,1238.59,time,42
AOS,Industrials,False,2024,IS (2022-2024),2024-02-01,1.4,2,True,False,True,True,2.045,8.0,11000.0,10.4172,1145.89,time,42,10.0,11000.0,10.4172,1145.89,time,42,12.0,11000.0,10.4172,1145.89,time,42,8.0,10000.0,10.4172,1041.72,time,42,8.0,10000.0,10.4172,1041.72,time,42
AOS,Industrials,False,2024,IS (2022-2024),2024-04-29,1.36,2,True,False,True,True,2.567,8.0,11000.0,-1.7129,-188.42,time,42,10.0,11000.0,-1.7129,-188.42,time,42,12.0,11000.0,-1.7129,-188.42,time,42,8.0,10000.0,-1.7129,-171.29,time,42,8.0,10000.0,-1.7129,-171.29,time,42
AOS,Industrials,False,2025,OOS (2025),2025-05-01,4.28,2,True,True,False,True,2.741,8.0,11000.0,-5.8332,-641.65,time,42,10.0,11000.0,-5.8332,-641.65,time,42,12.0,11000.0,-5.8332,-641.65,time,42,8.0,10000.0,-5.8332,-583.32,time,42,8.0,10000.0,-5.8332,-583.32,time,42
AOS,Industrials,False,2025,OOS (2025),2025-07-28,7.93,1,True,False,False,True,2.823,8.0,11000.0,3.7653,414.19,time,42,10.0,11000.0,3.7653,414.19,time,42,12.0,11000.0,3.7653,414.19,time,42,8.0,10000.0,3.7653,376.53,time,42,8.0,10000.0,3.7653,376.53,time,42
AOS,Industrials,False,2025,OOS (2025),2025-10-30,3.3,1,True,False,False,True,2.536,8.0,11000.0,5.1421,565.63,time,42,10.0,11000.0,5.1421,565.63,time,42,12.0,11000.0,5.1421,565.63,time,42,8.0,10000.0,5.1421,514.21,time,42,8.0,10000.0,5.1421,514.21,time,42
ABT,Health Care,False,2022,IS (2022-2024),2022-01-28,9.48,3,True,True,True,True,2.473,8.0,11000.0,-5.5891,-614.81,time,42,10.0,11000.0,-5.5891,-614.81,time,42,12.0,11000.0,-5.5891,-614.81,time,42,8.0,10000.0,-5.5891,-558.91,time,42,8.0,10000.0,-5.5891,-558.91,time,42
ABT,Health Care,False,2022,IS (2022-2024),2022-04-22,18.09,2,True,True,False,True,2.469,8.0,11000.0,-8.2832,-911.15,hard_stop,10,10.0,11000.0,-12.7052,-1397.58,hard_stop,17,12.0,11000.0,-12.7052,-1397.58,hard_stop,17,8.0,10000.0,-8.2832,-828.32,hard_stop,10,8.0,10000.0,-8.2832,-828.32,hard_stop,10
ABT,Health Care,False,2022,IS (2022-2024),2022-07-22,25.29,1,False,True,False,True,2.088,8.0,11000.0,-9.0179,-991.96,hard_stop,35,10.0,11000.0,-8.4821,-933.04,time,42,12.0,11000.0,-8.4821,-933.04,time,42,8.0,10000.0,-9.0179,-901.79,hard_stop,35,8.0,10000.0,-9.0179,-901.79,hard_stop,35
ABT,Health Care,False,2022,IS (2022-2024),2022-10-21,22.9,1,True,False,False,True,3.604,8.0,11000.0,13.0419,1434.6,time,42,10.0,11000.0,13.0419,1434.6,time,42,12.0,11000.0,13.0419,1434.6,time,42,8.0,10000.0,13.0419,1304.19,time,42,8.0,10000.0,13.0419,1304.19,time,42
ABT,Health Care,False,2023,IS (2022-2024),2023-01-27,9.65,0,False,False,False,True,1.889,8.0,11000.0,-9.2092,-1013.01,hard_stop,28,10.0,11000.0,-10.1672,-1118.39,hard_stop,40,12.0,11000.0,-12.3723,-1360.96,hard_stop,42,8.0,10000.0,-9.2092,-920.92,hard_stop,28,8.0,10000.0,-9.2092,-920.92,hard_stop,28
ABT,Health Care,False,2023,IS (2022-2024),2023-04-21,4.31,1,True,False,False,True,1.938,8.0,11000.0,-8.2702,-909.72,hard_stop,39,10.0,11000.0,-6.0245,-662.7,time,42,12.0,11000.0,-6.0245,-662.7,time,42,8.0,10000.0,-8.2702,-827.02,hard_stop,39,8.0,10000.0,-8.2702,-827.02,hard_stop,39
ABT,Health Care,False,2023,IS (2022-2024),2023-07-24,2.89,3,True,True,True,True,1.568,8.0,11000.0,-8.1782,-899.6,hard_stop,23,10.0,11000.0,-11.3844,-1252.28,hard_stop,43,12.0,11000.0,-11.3844,-1252.28,time,43,8.0,10000.0,-8.1782,-817.82,hard_stop,23,8.0,10000.0,-8.1782,-817.82,hard_stop,23
ABT,Health Care,False,2023,IS (2022-2024),2023-10-20,3.7,2,True,True,False,True,2.567,8.0,11000.0,10.0735,1108.08,time,42,10.0,11000.0,10.0735,1108.08,time,42,12.0,11000.0,10.0735,1108.08,time,42,8.0,10000.0,10.0735,1007.35,time,42,8.0,10000.0,10.0735,1007.35,time,42
ABT,Health Care,False,2024,IS (2022-2024),2024-04-19,2.81,2,True,False,True,True,2.003,8.0,11000.0,-3.5762,-393.38,time,42,10.0,11000.0,-3.5762,-393.38,time,42,12.0,11000.0,-3.5762,-393.38,time,42,8.0,10000.0,-3.5762,-357.62,time,42,8.0,10000.0,-3.5762,-357.62,time,42
ABT,Health Care,False,2024,IS (2022-2024),2024-07-22,3.17,2,True,True,False,True,2.009,8.0,11000.0,11.2423,1236.65,time,43,10.0,11000.0,11.2423,1236.65,time,43,12.0,11000.0,11.2423,1236.65,time,43,8.0,10000.0,11.2423,1124.23,time,43,8.0,10000.0,11.2423,1124.23,time,43
ABT,Health Care,False,2024,IS (2022-2024),2024-10-18,0.76,1,False,True,False,True,1.558,8.0,11000.0,0.7379,81.17,time,42,10.0,11000.0,0.7379,81.17,time,42,12.0,11000.0,0.7379,81.17,time,42,8.0,10000.0,0.7379,73.79,time,42,8.0,10000.0,0.7379,73.79,time,42
ABT,Health Care,False,2025,OOS (2025),2025-04-21,1.74,2,True,True,False,True,3.312,8.0,11000.0,1.9852,218.37,time,42,10.0,11000.0,1.9852,218.37,time,42,12.0,11000.0,1.9852,218.37,time,42,8.0,10000.0,1.9852,198.52,time,42,8.0,10000.0,1.9852,198.52,time,42
ABT,Health Care,False,2025,OOS (2025),2025-07-21,1.86,2,True,True,False,True,2.468,8.0,11000.0,5.7943,637.37,time,43,10.0,11000.0,5.7943,637.37,time,43,12.0,11000.0,5.7943,637.37,time,43,8.0,10000.0,5.7943,579.43,time,43,8.0,10000.0,5.7943,579.43,time,43
ABBV,Health Care,False,2022,IS (2022-2024),2022-02-04,0.84,2,False,True,True,True,2.361,8.0,11000.0,12.3951,1363.46,time,42,10.0,11000.0,12.3951,1363.46,time,42,12.0,11000.0,12.3951,1363.46,time,42,8.0,10000.0,12.3951,1239.51,time,42,8.0,10000.0,12.3951,1239.51,time,42
ABBV,Health Care,False,2022,IS (2022-2024),2022-05-03,0.56,3,True,True,True,True,3.955,8.0,11000.0,-7.0449,-774.94,time,42,10.0,11000.0,-7.0449,-774.94,time,42,12.0,11000.0,-7.0449,-774.94,time,42,8.0,10000.0,-7.0449,-704.49,time,42,8.0,10000.0,-7.0449,-704.49,time,42
ABBV,Health Care,False,2022,IS (2022-2024),2022-08-02,1.83,1,True,False,False,True,2.597,8.0,11000.0,-1.877,-206.47,time,42,10.0,11000.0,-1.877,-206.47,time,42,12.0,11000.0,-1.877,-206.47,time,42,8.0,10000.0,-1.877,-187.7,time,42,8.0,10000.0,-1.877,-187.7,time,42
ABBV,Health Care,False,2022,IS (2022-2024),2022-11-01,2.65,1,True,False,False,True,2.693,8.0,11000.0,11.5746,1273.21,time,42,10.0,11000.0,11.5746,1273.21,time,42,12.0,11000.0,11.5746,1273.21,time,42,8.0,10000.0,11.5746,1157.46,time,42,8.0,10000.0,11.5746,1157.46,time,42
ABBV,Health Care,False,2023,IS (2022-2024),2023-02-13,0.65,2,True,True,False,True,1.832,8.0,11000.0,3.6311,399.42,time,42,10.0,11000.0,3.6311,399.42,time,42,12.0,11000.0,3.6311,399.42,time,42,8.0,10000.0,3.6311,363.11,time,42,8.0,10000.0,3.6311,363.11,time,42
ABBV,Health Care,False,2023,IS (2022-2024),2023-07-31,3.64,2,True,True,False,True,1.889,8.0,11000.0,-0.924,-101.64,time,42,10.0,11000.0,-0.924,-101.64,time,42,12.0,11000.0,-0.924,-101.64,time,42,8.0,10000.0,-0.924,-92.4,time,42,8.0,10000.0,-0.924,-92.4,time,42
ABBV,Health Care,False,2023,IS (2022-2024),2023-10-31,2.8,2,True,True,False,True,2.226,8.0,11000.0,7.8471,863.19,time,42,10.0,11000.0,7.8471,863.19,time,42,12.0,11000.0,7.8471,863.19,time,42,8.0,10000.0,7.8471,784.71,time,42,8.0,10000.0,7.8471,784.71,time,42
ABBV,Health Care,False,2024,IS (2022-2024),2024-04-30,16.08,2,True,True,False,True,2.207,8.0,11000.0,3.9871,438.58,time,42,10.0,11000.0,3.9871,438.58,time,42,12.0,11000.0,3.9871,438.58,time,42,8.0,10000.0,3.9871,398.71,time,42,8.0,10000.0,3.9871,398.71,time,42
