date,cash,mtm,equity,n_pos,invested_frac
2025-07-28,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-07-29,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-07-30,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-07-31,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-08-01,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-08-04,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-08-05,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-08-06,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-08-07,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-08-08,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-08-11,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-08-12,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-08-13,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-08-14,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-08-15,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-08-18,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-08-19,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-08-20,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-08-21,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-08-22,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-08-25,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-08-26,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-08-27,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-08-28,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-08-29,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-09-02,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-09-03,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-09-04,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-09-05,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-09-08,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-09-09,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-09-10,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-09-11,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-09-12,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-09-15,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-09-16,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-09-17,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-09-18,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-09-19,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-09-22,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-09-23,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-09-24,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-09-25,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-09-26,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-09-29,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-09-30,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-10-01,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-10-02,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-10-03,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-10-06,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-10-07,100126.54912389605,0.0,100126.54912389605,0,0.0
