gap,vol,entry,maxhold,period,n_trades,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,win_rate_pct,expectancy_pct,median_return_pct,profit_factor,largest_winner_contrib_pct,expectancy_ex_top1_pct,avg_invested_frac_pct,recon_ok
0.08,2.0,next_open,10,OOS_2025,3,-0.3629593285402355,-0.4762764442620804,-0.6037432755199669,-0.8222605506373253,33.33333333333333,-1.1690725515576852,-2.304886215611879,0.4341343821610055,100.0,-3.1071114529678145,0.695408119749494,True
0.08,2.0,next_open,20,IS_2022_2024,8,0.46123569919291896,0.1628883063147235,-0.8153627683694608,0.33684055971716736,50.0,1.0308249505501257,0.05410027997130862,1.4582380129158066,37.59822912239909,-0.19795909445220156,0.7041470565842576,True
0.08,2.0,next_open,20,OOS_2025,3,-0.28903762847035663,-0.3793201033792659,-0.6032983848295062,-0.5623991432205856,33.33333333333333,-0.6679901850602559,-0.7391244742134262,0.5656742534666303,100.0,-2.324230582268588,1.209320743397846,True
0.08,2.0,next_open,30,IS_2022_2024,8,0.5453089272247746,0.18994789559574343,-0.8153627683694608,0.3402880090496541,37.5,1.243731234427814,-3.2123722392537357,1.4683247587541912,39.244409848743736,-0.32463182816376357,0.9910514664738475,True
0.08,2.0,next_open,30,OOS_2025,3,-0.3244081021726575,-0.42571513013242024,-0.6035111768110257,-0.5559637274145118,33.33333333333333,-0.910294726310179,-3.747713268951225,0.6419826936489363,100.0,-3.8285249796374874,1.7293874766499229,True
0.08,2.0,breakout,10,IS_2022_2024,8,-0.02119510466256358,-0.007577610207765151,-0.7841968478796821,-0.017319491751370215,50.0,-0.18505904115679872,-0.17496403394622329,0.898276746279846,49.48144115279117,-1.2526097416434956,0.41183568040864665,True
0.08,2.0,breakout,10,OOS_2025,2,-0.16864314537986536,-0.4916411524459652,-0.2609758039501048,-0.9577030114366823,50.0,0.0008068172943687113,0.0008068172943687113,1.008022338146573,100.0,-2.304886215611879,1.1305894336108016,True
0.08,2.0,breakout,20,IS_2022_2024,8,-0.1306464983110045,-0.046048418656019496,-0.9286593293910418,-0.09305597803668102,37.5,-0.46773364195614453,-2.399194382422065,0.8104371129575563,51.21161175328785,-1.7384079377345114,0.7081600171572593,True
0.08,2.0,breakout,20,OOS_2025,2,-0.09470716185839834,-0.24672722438728867,-0.2609758039501048,-0.3585878670021816,50.0,0.7525522547913388,0.7525522547913388,3.0585515175432096,100.0,-0.7391244742134262,2.037032015231925,True
0.08,2.0,breakout,30,IS_2022_2024,8,0.09113851476614254,0.03167206999468153,-0.9286593293910418,0.060659547241656155,37.5,0.09222170312040978,-3.282092367546474,1.0282439913405623,45.597680247235466,-1.3668252097484426,0.9855632774763143,True
0.08,2.0,breakout,30,OOS_2025,2,-0.13008446998751255,-0.3060580454885886,-0.3370517970035407,-0.3761028976537717,50.0,0.3846467530378317,0.3846467530378317,1.2140892166885675,100.0,-3.747713268951225,2.7847820035651107,True
0.08,3.0,next_open,10,IS_2022_2024,6,0.07593537135917039,0.0370468239979882,-0.6692771129085452,0.09300493810063304,33.33333333333333,0.07258180583782728,-2.1592846248985498,1.021541721927316,62.63989304058728,-1.796973690029584,0.3552228896002038,True
0.08,3.0,next_open,10,OOS_2025,3,-0.3629593285402355,-0.4762764442620804,-0.6037432755199669,-0.8222605506373253,33.33333333333333,-1.1690725515576852,-2.304886215611879,0.4341343821610055,100.0,-3.1071114529678145,0.695408119749494,True
0.08,3.0,next_open,20,IS_2022_2024,6,-0.18187224183026096,-0.08715859326643427,-0.8153627683694608,-0.1792277902266238,33.33333333333333,-0.7860632030453193,-3.626683514472412,0.7233423650928514,65.67321647397716,-2.645858308025233,0.5679896087110381,True
0.08,3.0,next_open,20,OOS_2025,3,-0.28903762847035663,-0.3793201033792659,-0.6032983848295062,-0.5623991432205856,33.33333333333333,-0.6679901850602559,-0.7391244742134262,0.5656742534666303,100.0,-2.324230582268588,1.209320743397846,True
0.08,3.0,next_open,30,IS_2022_2024,6,0.12937331037323752,0.06083130240894796,-0.8153627683694608,0.11906972209187337,33.33333333333333,0.2700615673269605,-3.626683514472412,1.0790104996748737,63.209204728293464,-2.1203806537214187,0.7577019555126596,True
0.08,3.0,next_open,30,OOS_2025,3,-0.3244081021726575,-0.42571513013242024,-0.6035111768110257,-0.5559637274145118,33.33333333333333,-0.910294726310179,-3.747713268951225,0.6419826936489363,100.0,-3.8285249796374874,1.7293874766499229,True
0.08,3.0,breakout,10,IS_2022_2024,6,-0.2574633474109911,-0.12571677155056582,-0.7841968478796821,-0.31996690076612777,33.33333333333333,-1.0379783586819014,-2.5595531862040666,0.6031142421892057,73.69752668852234,-2.7031332028682975,0.3688392411386497,True
0.08,3.0,breakout,10,OOS_2025,2,-0.16864314537986536,-0.4916411524459652,-0.2609758039501048,-0.9577030114366823,50.0,0.0008068172943687113,0.0008068172943687113,1.008022338146573,100.0,-2.304886215611879,1.1305894336108016,True
0.08,3.0,breakout,20,IS_2022_2024,6,-0.48655883308982295,-0.23335909155545176,-0.9286593293910418,-0.49445946549467656,33.33333333333333,-1.819270450245832,-4.022059243203935,0.4213443569999781,71.14197462037681,-3.3329018944126028,0.5771443558939315,True
0.08,3.0,breakout,20,OOS_2025,2,-0.09470716185839834,-0.24672722438728867,-0.2609758039501048,-0.3585878670021816,50.0,0.7525522547913388,0.7525522547913388,3.0585515175432096,100.0,-0.7391244742134262,2.037032015231925,True
0.08,3.0,breakout,30,IS_2022_2024,6,-0.27256198487630723,-0.12829514505573458,-0.9286593293910418,-0.24617274431290512,33.33333333333333,-1.0914579392206156,-4.022059243203935,0.6478124522425162,60.68442318384945,-2.817665610475819,0.7624538288249401,True
0.08,3.0,breakout,30,OOS_2025,2,-0.13008446998751255,-0.3060580454885886,-0.3370517970035407,-0.3761028976537717,50.0,0.3846467530378317,0.3846467530378317,1.2140892166885675,100.0,-3.747713268951225,2.7847820035651107,True
0.1,1.5,next_open,10,IS_2022_2024,6,0.37219393348459917,0.14670057811103643,-0.6549578796049508,0.4878831003580226,50.0,1.0602931761507026,0.8038494860400758,1.4364975846228387,45.43782329415119,-0.6117200456541338,0.28834687090417965,True
0.1,1.5,next_open,10,OOS_2025,3,-0.3629593285402355,-0.4762764442620804,-0.6037432755199669,-0.8222605506373253,33.33333333333333,-1.1690725515576852,-2.304886215611879,0.4341343821610055,100.0,-3.1071114529678145,0.695408119749494,True
0.1,1.5,next_open,20,IS_2022_2024,6,0.45832654849888854,0.17771836220978887,-0.6549578796049508,0.4636366530750341,50.0,1.3563998407430646,0.17851202635091878,1.5570141309841665,43.11620149199319,-0.2987828442216056,0.5275909293990965,True
0.1,1.5,next_open,20,OOS_2025,3,-0.28903762847035663,-0.3793201033792659,-0.6032983848295062,-0.5623991432205856,33.33333333333333,-0.6679901850602559,-0.7391244742134262,0.5656742534666303,100.0,-2.324230582268588,1.209320743397846,True
0.1,1.5,next_open,30,IS_2022_2024,6,0.8663858244951195,0.3305964191718802,-0.6549578796049508,0.7513276636864205,50.0,2.729099058988331,1.4922061621104543,2.1279696818588025,39.244409848743736,0.8304643362722252,0.7672296875005992,True
0.1,1.5,next_open,30,OOS_2025,3,-0.3244081021726575,-0.42571513013242024,-0.6035111768110257,-0.5559637274145118,33.33333333333333,-0.910294726310179,-3.747713268951225,0.6419826936489363,100.0,-3.8285249796374874,1.7293874766499229,True
0.1,1.5,breakout,10,IS_2022_2024,6,-0.003935891751094545,-0.0015531001137714107,-0.7535687659974827,-0.0038655468474593476,50.0,-0.18842404356032388,-0.9608441335014817,0.9166488848385619,50.41887018214219,-1.6836680247224047,0.29919233042985227,True
0.1,1.5,breakout,10,OOS_2025,2,-0.16864314537986536,-0.4916411524459652,-0.2609758039501048,-0.9577030114366823,50.0,0.0008068172943687113,0.0008068172943687113,1.008022338146573,100.0,-2.304886215611879,1.1305894336108016,True
0.1,1.5,breakout,20,IS_2022_2024,6,0.10807522163605032,0.04195151503945116,-0.7535687659974827,0.11195851738106785,50.0,0.176086604865829,-1.0727598053623777,1.0621480748824186,51.308637556757965,-1.4740933598594896,0.5346357523853154,True
