ticker,sector,earn_date,entry_date,entry_price,exit_date,exit_price,exit_reason,holding_days,return_pct,return_dollar,eps_reported,eps_estimate,surprise_pct,spy_bull_regime,year
BDX,Health Care,2025-08-07,2025-08-11,149.565,2025-09-22,144.9392,time,42,-3.09,-340.21,3.68,3.4,8.16,True,2025
BDX,Health Care,2025-11-06,2025-11-10,137.3795,2025-12-22,153.6883,time,42,11.87,1305.84,3.96,3.91,1.15,True,2025
BRK-B,Financials,2025-02-22,2025-02-25,503.15,2025-04-08,492.64,time,42,-2.09,-229.77,6.73,4.19,60.69,True,2025
BRK-B,Financials,2025-08-02,2025-08-05,460.6,2025-09-16,490.99,time,42,6.6,725.77,5.17,5.04,2.71,True,2025
BRK-B,Financials,2025-11-01,2025-11-04,475.5,2025-12-16,499.84,time,42,5.12,563.07,6.25,5.73,9.0,True,2025
BBY,Consumer Discretionary,2025-05-29,2025-06-02,63.2255,2025-06-13,65.8855,trail_stop,11,4.21,462.79,1.15,1.1,5.02,True,2025
BBY,Consumer Discretionary,2025-08-28,2025-09-02,70.0921,2025-10-14,75.0608,time,42,7.09,779.78,1.28,1.22,4.51,True,2025
BBY,Consumer Discretionary,2025-11-25,2025-11-28,78.4342,2025-12-04,71.9985,hard_stop,6,-8.21,-902.58,1.4,1.31,6.65,True,2025
TECH,Health Care,2025-02-05,2025-02-07,75.0221,2025-02-11,67.7369,hard_stop,4,-9.71,-1068.17,0.42,0.39,7.77,True,2025
TECH,Health Care,2025-05-07,2025-05-09,49.6182,2025-06-20,49.5898,time,42,-0.06,-6.31,0.56,0.51,10.41,False,2025
TECH,Health Care,2025-08-06,2025-08-08,50.0768,2025-09-04,52.6802,trail_stop,27,5.2,571.86,0.53,0.5,5.79,True,2025
BIIB,Health Care,2025-02-12,2025-02-14,140.14,2025-03-28,138.37,time,42,-1.26,-138.93,3.44,3.36,2.26,True,2025
BIIB,Health Care,2025-05-01,2025-05-05,123.33,2025-06-16,131.04,time,42,6.25,687.67,3.02,2.95,2.43,False,2025
BIIB,Health Care,2025-07-31,2025-08-04,132.33,2025-09-15,143.32,time,42,8.3,913.55,5.47,3.88,40.97,True,2025
BIIB,Health Care,2025-10-30,2025-11-03,153.6,2025-12-15,175.74,time,42,14.41,1585.55,3.17,3.01,5.18,True,2025
BLK,Financials,2025-01-15,2025-01-17,975.3649,2025-02-28,952.8348,time,42,-2.31,-254.09,11.93,11.22,6.36,True,2025
BLK,Financials,2025-07-15,2025-07-17,1068.7211,2025-08-28,1113.5187,time,42,4.19,461.09,10.19,10.13,0.57,True,2025
BX,Financials,2025-01-30,2025-02-03,163.8246,2025-02-24,150.504,hard_stop,21,-8.13,-894.41,1.69,1.47,15.23,True,2025
BX,Financials,2025-04-17,2025-04-22,116.8042,2025-05-21,132.6712,trail_stop,29,13.58,1494.27,1.09,1.06,3.11,False,2025
BX,Financials,2025-07-24,2025-07-28,171.8096,2025-09-08,168.243,time,42,-2.08,-228.35,1.21,1.09,10.7,True,2025
BX,Financials,2025-10-23,2025-10-27,150.7489,2025-11-13,136.6607,hard_stop,17,-9.35,-1028.0,1.52,1.23,23.89,True,2025
XYZ,Financials,2025-02-20,2025-02-24,68.01,2025-03-04,59.43,hard_stop,8,-12.62,-1387.74,3.05,0.41,647.27,True,2025
BNY,Financials,2025-01-15,2025-01-17,79.8836,2025-02-28,86.7718,time,42,8.62,948.51,1.72,1.57,9.81,True,2025
