ticker,sector,earn_date,entry_date,entry_price,exit_date,exit_price,exit_reason,holding_days,return_pct,return_dollar,eps_reported,eps_estimate,surprise_pct,year
ALL,Financials,2024-05-01,2024-05-03,161.4706,2024-06-14,151.8481,time,42,-5.96,-655.52,5.13,3.94,30.29,2024
ALL,Financials,2024-07-31,2024-08-02,170.6515,2024-09-13,182.9334,time,42,7.2,791.68,1.61,0.36,346.5,2024
ALL,Financials,2024-10-30,2024-11-01,180.8447,2024-12-12,187.6486,trail_stop,41,3.76,413.85,4.39,1.93,128.05,2024
GOOGL,Communication Services,2022-02-01,2022-02-03,144.5111,2022-02-17,131.4525,hard_stop,14,-9.04,-994.0,1.53,1.36,12.52,2022
GOOGL,Communication Services,2023-04-25,2023-04-27,103.5938,2023-06-08,121.1388,time,42,16.94,1863.0,1.17,1.07,9.45,2023
GOOGL,Communication Services,2023-07-25,2023-07-27,130.5907,2023-09-07,134.1512,time,42,2.73,299.92,1.44,1.34,7.29,2023
GOOGL,Communication Services,2023-10-24,2023-10-26,122.2595,2023-12-07,135.8076,time,42,11.08,1218.95,1.55,1.45,7.05,2023
GOOGL,Communication Services,2024-01-30,2024-02-01,140.955,2024-03-14,141.927,time,42,0.69,75.85,1.64,1.6,2.75,2024
GOOGL,Communication Services,2024-04-25,2024-04-29,167.6742,2024-06-10,173.7746,time,42,3.64,400.21,1.89,1.51,25.58,2024
GOOGL,Communication Services,2024-07-23,2024-07-25,171.3022,2024-08-06,157.1727,hard_stop,12,-8.25,-907.31,1.89,1.84,2.54,2024
GOOGL,Communication Services,2024-10-29,2024-10-31,172.136,2024-12-12,191.0766,time,42,11.0,1210.36,2.12,1.85,14.83,2024
GOOG,Communication Services,2022-02-01,2022-02-03,144.1119,2022-02-17,131.2311,hard_stop,14,-8.94,-983.18,1.53,1.36,12.52,2022
GOOG,Communication Services,2023-04-25,2023-04-27,104.3731,2023-06-08,121.6711,time,42,16.57,1823.05,1.17,1.07,9.45,2023
GOOG,Communication Services,2023-07-25,2023-07-27,130.7267,2023-09-07,135.0909,time,42,3.34,367.22,1.44,1.34,7.29,2023
GOOG,Communication Services,2023-10-24,2023-10-26,123.4564,2023-12-07,137.3226,time,42,11.23,1235.48,1.55,1.45,7.05,2023
GOOG,Communication Services,2024-01-30,2024-02-01,142.5199,2024-03-14,143.1646,time,42,0.45,49.76,1.64,1.6,2.53,2024
GOOG,Communication Services,2024-04-25,2024-04-29,169.3794,2024-06-10,175.3911,time,42,3.55,390.41,1.89,1.51,25.58,2024
GOOG,Communication Services,2024-07-23,2024-07-25,173.0278,2024-09-03,157.4975,hard_stop,40,-8.98,-987.32,1.89,1.84,2.54,2024
GOOG,Communication Services,2024-10-29,2024-10-31,173.7228,2024-12-12,192.7433,time,42,10.95,1204.36,2.12,1.85,14.83,2024
MO,Consumer Staples,2022-01-27,2022-01-31,35.8516,2022-03-14,36.1737,time,42,0.9,98.82,1.09,1.08,0.64,2022
MO,Consumer Staples,2022-04-28,2022-05-02,40.8366,2022-05-10,37.5458,hard_stop,8,-8.06,-886.43,1.12,1.09,2.52,2022
MO,Consumer Staples,2022-07-28,2022-08-01,32.4424,2022-09-12,33.5112,time,42,3.29,362.39,1.26,1.25,0.77,2022
MO,Consumer Staples,2023-02-01,2023-02-03,36.4013,2023-03-17,35.1002,time,42,-3.57,-393.19,1.18,1.16,1.79,2023
